,driverId,constructorId,grid,year_x,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,statusId_1,statusId_2,statusId_3,positionOrder,Column1
95,841,51,18,2019,4,0,0,0,0,0,1.0,0.0,0.0,0,8.647551e-15
96,847,3,19,2019,4,0,0,0,0,0,0.0,1.0,0.0,0,0.0
97,9,3,17,2019,4,0,0,0,0,0,0.0,1.0,0.0,0,0.0
98,840,211,16,2019,4,0,0,0,0,0,0.0,0.0,1.0,0,0.0
99,846,1,10,2019,4,0,0,0,0,0,0.0,0.0,1.0,0,0.0
100,1,131,1,2019,6,0,0,0,0,1,1.0,0.0,0.0,1,0.6696152
101,20,6,4,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,0.030438453
102,822,131,2,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,1.1838315e-08
103,830,9,3,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,0.19322681
104,842,9,8,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,4.0108956e-05
105,832,1,9,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,5.0425606e-06
106,826,5,7,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,0.0011055768
107,848,5,10,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,2.257772e-08
108,817,4,6,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,0.01546371
109,154,210,13,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,2.2136525e-14
110,846,1,12,2019,6,0,0,0,0,1,1.0,0.0,0.0,0,1.1738617e-12
111,825,210,5,2019,6,0,0,0,0,1,0.0,1.0,0.0,0,0.0
112,815,211,16,2019,6,0,0,0,0,1,0.0,1.0,0.0,0,0.0
113,807,4,11,2019,6,0,0,0,0,1,0.0,1.0,0.0,0,0.0
114,847,3,19,2019,6,0,0,0,0,1,0.0,1.0,0.0,0,0.0
115,840,211,17,2019,6,0,0,0,0,1,0.0,1.0,0.0,0,0.0
116,8,51,14,2019,6,0,0,0,0,1,0.0,1.0,0.0,0,0.0
117,9,3,20,2019,6,0,0,0,0,1,0.0,1.0,0.0,0,0.0
118,841,51,18,2019,6,0,0,0,0,1,0.0,1.0,0.0,0,0.0
119,844,6,15,2019,6,0,0,0,0,1,0.0,0.0,1.0,0,0.0
120,1,131,2,2019,7,0,0,0,0,0,1.0,0.0,0.0,1,0.36756945
121,20,6,1,2019,7,0,0,0,0,0,1.0,0.0,0.0,0,0.46812707
122,844,6,3,2019,7,0,0,0,0,0,1.0,0.0,0.0,0,0.113907695
123,822,131,6,2019,7,0,0,0,0,0,1.0,0.0,0.0,0,5.4222944e-08
124,830,9,9,2019,7,0,0,0,0,0,1.0,0.0,0.0,0,0.00022235513
125,817,4,4,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
126,807,4,7,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
127,842,9,5,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
128,840,211,17,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
129,826,5,10,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
130,832,1,11,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
131,815,211,15,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
132,841,51,12,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
133,154,210,14,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
134,8,51,16,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
135,847,3,18,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
136,825,210,0,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
137,9,3,19,2019,7,0,0,0,0,0,0.0,1.0,0.0,0,0.0
138,848,5,13,2019,7,0,0,0,0,0,0.0,0.0,1.0,0,0.0
139,846,1,8,2019,7,0,0,0,0,0,0.0,0.0,1.0,0,0.0
140,1,131,1,2019,34,1,0,0,0,0,1.0,0.0,0.0,1,0.5838985
141,822,131,2,2019,34,1,0,0,0,0,1.0,0.0,0.0,0,0.78844416
142,844,6,3,2019,34,1,0,0,0,0,1.0,0.0,0.0,0,0.006008923
143,830,9,4,2019,34,1,0,0,0,0,1.0,0.0,0.0,0,0.0020273924
144,20,6,7,2019,34,1,0,0,0,0,1.0,0.0,0.0,0,0.01773563
145,832,1,6,2019,34,1,0,0,0,0,1.0,0.0,0.0,0,0.0007431805
146,8,51,12,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
147,807,4,13,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
148,846,1,5,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
149,842,9,9,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
150,817,4,8,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
151,815,211,14,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
152,840,211,17,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
153,826,5,19,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
154,848,5,11,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
155,841,51,10,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
156,825,210,15,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
157,9,3,18,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
158,847,3,20,2019,34,1,0,0,0,0,0.0,1.0,0.0,0,0.0
159,154,210,16,2019,34,1,0,0,0,0,0.0,0.0,1.0,0,0.0
160,830,9,2,2019,70,0,0,0,0,0,1.0,0.0,0.0,1,0.042027533
161,844,6,1,2019,70,0,0,0,0,0,1.0,0.0,0.0,0,0.114076525
162,822,131,3,2019,70,0,0,0,0,0,1.0,0.0,0.0,0,0.26109588
163,20,6,9,2019,70,0,0,0,0,0,1.0,0.0,0.0,0,4.9427626e-09
164,1,131,4,2019,70,0,0,0,0,0,1.0,0.0,0.0,0,0.0017538369
165,846,1,5,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
166,842,9,8,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
167,832,1,19,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
168,8,51,6,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
169,841,51,7,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
170,815,211,13,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
171,817,4,12,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
172,807,4,15,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
173,840,211,14,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
174,848,5,18,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
175,154,210,11,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
176,826,5,16,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
177,847,3,0,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
178,825,210,10,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
179,9,3,17,2019,70,0,0,0,0,0,0.0,1.0,0.0,0,0.0
180,1,131,2,2019,9,0,0,0,0,1,1.0,0.0,0.0,1,0.45990196
181,822,131,1,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,4.720686e-06
182,844,6,3,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,0.17992264
183,842,9,5,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,0.07218948
184,830,9,4,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,0.16655695
185,832,1,13,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,5.5174977e-14
186,817,4,7,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,0.0041927695
187,8,51,12,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,3.2334632e-05
188,826,5,17,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,7.574853e-22
189,807,4,10,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,1.446266e-06
190,846,1,8,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,0.0001732111
191,848,5,9,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,5.426408e-06
192,840,211,18,2019,9,0,0,0,0,1,1.0,0.0,0.0,0,0.0
193,847,3,19,2019,9,0,0,0,0,1,0.0,1.0,0.0,0,0.0
194,9,3,20,2019,9,0,0,0,0,1,0.0,1.0,0.0,0,0.0
195,20,6,6,2019,9,0,0,0,0,1,0.0,1.0,0.0,0,0.0
196,815,211,15,2019,9,0,0,0,0,1,0.0,1.0,0.0,0,0.0
197,841,51,11,2019,9,0,0,0,0,1,0.0,0.0,1.0,0,0.0
198,154,210,14,2019,9,0,0,0,0,1,0.0,0.0,1.0,0,0.0
