raceId,endingposition,resultId,raceId,driverId,constructorId,startingposition,racestatus,circuit,train_test
34,2,330,34,13,6,3,1,17,1
34,3,331,34,8,6,2,1,17,1
34,4,332,34,4,4,4,1,17,1
34,5,333,34,2,2,9,1,17,1
34,6,334,34,9,2,11,1,17,1
34,7,335,34,10,7,12,1,17,1
34,8,336,34,12,4,10,1,17,1
34,9,337,34,20,5,6,1,17,1
34,10,338,34,14,9,15,1,17,1
34,11,339,34,22,11,13,1,17,1
34,12,340,34,6,3,17,1,17,1
34,13,341,34,7,5,8,1,17,1
34,14,342,34,17,9,16,1,17,1
34,15,343,34,3,3,14,1,17,1
34,16,344,34,18,11,18,1,17,1
34,17,345,34,21,10,20,1,17,1
34,0,346,34,5,1,5,2,17,1
34,0,347,34,16,10,19,2,17,1
34,0,348,34,15,7,7,2,17,1
35,1,349,35,13,6,1,1,18,1
35,2,350,35,4,4,6,1,18,1
35,3,351,35,8,6,3,1,18,1
35,4,352,35,20,5,7,1,18,1
35,5,353,35,1,1,4,1,18,1
35,6,354,35,10,7,10,1,18,1
35,7,355,35,5,1,5,1,18,1
35,8,356,35,15,7,2,1,18,1
35,9,357,35,17,9,12,1,18,1
35,10,358,35,2,2,8,1,18,1
35,11,359,35,9,2,13,1,18,1
35,12,360,35,3,3,18,1,18,1
35,13,361,35,18,11,17,1,18,1
35,14,362,35,7,5,9,1,18,1
35,15,363,35,22,11,15,1,18,1
35,16,364,35,16,10,20,1,18,1
35,17,365,35,6,3,16,1,18,1
35,18,366,35,21,10,19,1,18,1
35,0,367,35,12,4,11,2,18,1
35,0,368,35,14,9,14,2,18,1
36,1,369,36,8,6,1,1,1,1
36,2,370,36,4,1,2,1,1,1
36,3,371,36,1,1,4,1,1,1
36,4,372,36,2,2,3,1,1,1
36,5,373,36,21,4,6,1,1,1
36,6,374,36,13,6,22,1,1,1
36,7,375,36,3,3,12,1,1,1
36,8,376,36,23,7,9,1,1,1
36,9,377,36,15,7,8,1,1,1
36,10,378,36,5,4,13,1,1,1
36,11,379,36,22,11,16,1,1,1
36,12,380,36,11,8,10,1,1,1
36,13,381,36,17,9,7,1,1,1
36,14,382,36,24,5,19,1,1,1
36,15,383,36,18,11,14,1,1,1
36,16,384,36,19,8,11,1,1,1
36,17,385,36,16,12,20,1,1,1
36,0,386,36,25,3,15,2,1,1
36,0,387,36,14,9,18,2,1,1
36,0,388,36,9,2,5,2,1,1
36,0,389,36,26,5,17,2,1,1
36,0,390,36,27,12,21,2,1,1
37,1,391,37,4,1,2,1,2,1
37,2,392,37,1,1,4,1,2,1
37,3,393,37,8,6,3,1,2,1
37,4,394,37,2,2,5,1,2,1
37,5,395,37,13,6,1,1,2,1
37,6,396,37,21,4,12,1,2,1
37,7,397,37,15,7,8,1,2,1
37,8,398,37,5,4,11,1,2,1
37,9,399,37,25,3,19,1,2,1
37,10,400,37,17,9,10,1,2,1
37,11,401,37,22,11,22,1,2,1
37,12,402,37,18,11,15,1,2,1
37,13,403,37,11,8,14,1,2,1
37,14,404,37,26,5,17,1,2,1
37,15,405,37,23,7,9,1,2,1
37,16,406,37,19,8,18,1,2,1
37,17,407,37,24,5,16,1,2,1
37,18,408,37,9,2,7,1,2,1
37,0,409,37,3,3,6,2,2,1
37,0,410,37,14,9,13,2,2,1
37,0,411,37,27,12,20,2,2,1
37,0,412,37,16,12,21,2,2,1
38,1,413,38,13,6,1,1,3,1
38,2,414,38,1,1,2,1,3,1
38,3,415,38,8,6,3,1,3,1
38,4,416,38,2,2,5,1,3,1
38,5,417,38,4,1,4,1,3,1
38,6,418,38,9,2,6,1,3,1
38,7,419,38,15,7,9,1,3,1
38,8,420,38,21,4,7,1,3,1
38,9,421,38,5,4,12,1,3,1
38,10,422,38,3,3,10,1,3,1
38,11,423,38,25,3,11,1,3,1
38,12,424,38,23,7,14,1,3,1
38,13,425,38,22,11,15,1,3,1
38,14,426,38,27,12,22,1,3,1
38,15,427,38,16,12,20,1,3,1
38,0,428,38,19,8,13,2,3,1
38,0,429,38,17,9,8,2,3,1
38,0,430,38,14,9,21,2,3,1
38,0,431,38,11,8,17,2,3,1
38,0,432,38,24,5,18,2,3,1
38,0,433,38,18,11,16,2,3,1
38,0,434,38,26,5,19,2,3,1
39,1,435,39,13,6,1,1,4,1
39,2,436,39,1,1,4,1,4,1
39,3,437,39,4,1,2,1,4,1
39,4,438,39,9,2,5,1,4,1
39,5,439,39,14,9,9,1,4,1
39,6,440,39,3,3,11,1,4,1
39,7,441,39,5,4,8,1,4,1
39,8,442,39,11,8,13,1,4,1
39,9,443,39,21,4,10,1,4,1
39,10,444,39,22,11,12,1,4,1
39,11,445,39,19,8,15,1,4,1
39,12,446,39,18,11,14,1,4,1
39,13,447,39,16,12,20,1,4,1
39,14,448,39,27,12,21,1,4,1
39,0,449,39,2,2,7,2,4,1
39,0,450,39,23,7,17,2,4,1
39,0,451,39,24,5,16,2,4,1
39,0,452,39,26,5,22,2,4,1
39,0,453,39,8,6,3,2,4,1
39,0,454,39,15,7,6,2,4,1
39,0,455,39,17,9,19,2,4,1
39,0,456,39,25,3,18,2,4,1
40,1,457,40,4,1,1,1,6,1
40,2,458,40,1,1,2,1,6,1
40,3,459,40,13,6,3,1,6,1
40,4,460,40,21,4,4,1,6,1
40,5,461,40,9,2,8,1,6,1
40,6,462,40,2,2,7,1,6,1
40,7,463,40,25,3,11,1,6,1
40,8,464,40,8,6,16,1,6,1
40,9,465,40,26,5,18,1,6,1
40,10,466,40,22,11,9,1,6,1
40,11,467,40,18,11,10,1,6,1
40,12,468,40,3,3,5,1,6,1
40,0,469,40,5,4,15,2,6,1
40,14,470,40,14,9,13,1,6,1
40,15,471,40,15,7,14,1,6,1
40,16,472,40,23,7,20,1,6,1
40,17,473,40,11,8,21,1,6,1
40,18,474,40,19,8,17,1,6,1
40,0,475,40,27,12,22,2,6,1
40,0,476,40,16,12,19,2,6,1
40,0,477,40,17,9,6,2,6,1
40,0,478,40,24,5,12,2,6,1
41,1,479,41,1,1,1,1,7,1
41,2,480,41,2,2,3,1,7,1
41,3,481,41,25,3,19,1,7,1
41,4,482,41,5,4,22,1,7,1
41,5,483,41,8,6,4,1,7,1
41,6,484,41,11,8,11,1,7,1
41,7,485,41,4,1,2,1,7,1
41,8,486,41,23,7,18,1,7,1
41,9,487,41,17,9,6,1,7,1
41,10,488,41,3,3,7,1,7,1
41,11,489,41,19,8,17,1,7,1
41,12,490,41,22,11,13,1,7,1
41,0,491,41,15,7,10,2,7,1
41,0,492,41,24,5,12,2,7,1
41,0,493,41,27,12,21,2,7,1
41,0,494,41,14,9,14,2,7,1
41,0,495,41,9,2,8,2,7,1
41,0,496,41,16,12,20,2,7,1
41,0,497,41,26,5,16,2,7,1
41,0,498,41,18,11,15,2,7,1
41,0,499,41,13,6,5,2,7,1
41,0,500,41,21,4,9,2,7,1
42,1,501,42,1,1,1,1,19,1
42,2,502,42,4,1,2,1,19,1
42,3,503,42,13,6,3,1,19,1
