ending_position,raceId,curcuit_id,driverId,constructorId,starting_position,finish_status,train_test,resultId
16,347,10,24,10,21,1,1,20578
17,347,10,16,10,19,1,1,20579
18,347,10,10,166,23,1,1,20580
19,347,10,811,164,20,1,1,20581
0,347,10,5,205,18,2,1,20582
0,347,10,810,166,24,2,1,20583
0,347,10,29,164,22,2,1,20584
0,347,10,15,205,17,2,1,20585
0,347,10,67,5,16,2,1,20586
1,348,11,17,9,2,1,1,20587
2,348,11,4,6,3,1,1,20588
3,348,11,20,9,1,1,1,20589
4,348,11,13,6,4,1,1,20590
5,348,11,808,4,7,1,1,20591
6,348,11,807,3,10,1,1,20592
7,348,11,37,15,9,1,1,20593
8,348,11,18,1,11,1,1,20594
9,348,11,155,15,23,1,1,20595
10,348,11,22,3,12,1,1,20596
11,348,11,30,131,14,1,1,20597
12,348,11,67,5,15,1,1,20598
13,348,11,24,10,16,1,1,20599
14,348,11,5,205,19,1,1,20600
15,348,11,15,205,20,1,1,20601
16,348,11,10,166,18,1,1,20602
17,348,11,811,164,22,1,1,20603
18,348,11,810,166,21,1,1,20604
19,348,11,29,164,24,1,1,20605
0,348,11,1,1,5,2,1,20606
0,348,11,9,4,8,2,1,20607
0,348,11,3,131,6,2,1,20608
0,348,11,16,10,13,2,1,20609
0,348,11,153,5,17,2,1,20610
1,349,13,1,1,2,1,1,20611
2,349,13,17,9,1,1,1,20612
3,349,13,9,4,3,1,1,20613
4,349,13,13,6,6,1,1,20614
5,349,13,16,10,8,1,1,20615
6,349,13,3,131,14,1,1,20616
7,349,13,30,131,21,1,1,20617
8,349,13,155,15,17,1,1,20618
9,349,13,808,4,23,1,1,20619
10,349,13,24,10,12,1,1,20620
11,349,13,37,15,24,1,1,20621
12,349,13,67,5,16,1,1,20622
13,349,13,153,5,11,1,1,20623
14,349,13,807,3,9,1,1,20624
15,349,13,20,9,4,1,1,20625
16,349,13,5,205,13,1,1,20626
17,349,13,810,166,22,1,1,20627
18,349,13,10,166,20,1,1,20628
19,349,13,15,205,15,1,1,20629
20,349,13,29,164,19,1,1,20630
0,349,13,4,6,10,2,1,20631
0,349,13,18,1,5,2,1,20632
0,349,13,811,164,18,2,1,20633
0,349,13,22,3,7,2,1,20634
1,350,14,4,6,1,1,1,20635
2,350,14,18,1,2,1,1,20636
3,350,14,13,6,3,1,1,20637
4,350,14,20,9,6,1,1,20638
5,350,14,3,131,7,1,1,20639
6,350,14,17,9,4,1,1,20640
7,350,14,807,3,8,1,1,20641
8,350,14,9,4,9,1,1,20642
9,350,14,30,131,12,1,1,20643
10,350,14,22,3,10,1,1,20644
11,350,14,67,5,14,1,1,20645
12,350,14,24,10,19,1,1,20646
13,350,14,808,4,20,1,1,20647
14,350,14,37,15,16,1,1,20648
15,350,14,153,5,15,1,1,20649
16,350,14,16,10,11,1,1,20650
17,350,14,10,166,24,1,1,20651
18,350,14,5,205,18,1,1,20652
19,350,14,29,164,23,1,1,20653
20,350,14,810,166,21,1,1,20654
0,350,14,15,205,17,2,1,20655
0,350,14,811,164,22,2,1,20656
0,350,14,1,1,5,2,1,20657
0,350,14,155,15,13,2,1,20658
1,351,15,4,6,1,1,1,20659
2,351,15,20,9,2,1,1,20660
3,351,15,17,9,5,1,1,20661
4,351,15,18,1,4,1,1,20662
5,351,15,3,131,7,1,1,20663
6,351,15,22,3,6,1,1,20664
7,351,15,9,4,8,1,1,20665
8,351,15,13,6,24,1,1,20666
9,351,15,16,10,15,1,1,20667
10,351,15,807,3,17,1,1,20668
11,351,15,808,4,12,1,1,20669
12,351,15,153,5,11,1,1,20670
13,351,15,30,131,9,1,1,20671
14,351,15,67,5,13,1,1,20672
15,351,15,810,166,20,1,1,20673
0,351,15,5,205,19,2,1,20674
0,351,15,10,166,18,2,1,20675
0,351,15,2,15,14,2,1,20676
0,351,15,1,1,3,2,1,20677
0,351,15,32,164,22,2,1,20678
0,351,15,155,15,10,2,1,20679
0,351,15,811,164,23,2,1,20680
0,351,15,15,205,21,2,1,20681
0,351,15,24,10,16,2,1,20682
1,352,22,20,9,1,1,1,20683
2,352,22,17,9,2,1,1,20684
3,352,22,4,6,4,1,1,20685
4,352,22,18,1,5,1,1,20686
5,352,22,1,1,8,1,1,20687
6,352,22,30,131,10,1,1,20688
7,352,22,155,15,14,1,1,20689
8,352,22,2,15,11,1,1,20690
9,352,22,22,3,7,1,1,20691
10,352,22,67,5,18,1,1,20692
11,352,22,153,5,16,1,1,20693
12,352,22,5,205,20,1,1,20694
13,352,22,15,205,19,1,1,20695
14,352,22,10,166,22,1,1,20696
15,352,22,811,164,23,1,1,20697
16,352,22,29,164,24,1,1,20698
0,352,22,3,131,6,2,1,20699
0,352,22,16,10,15,2,1,20700
0,352,22,9,4,3,2,1,20701
0,352,22,807,3,9,2,1,20702
0,352,22,13,6,12,2,1,20703
0,352,22,808,4,13,2,1,20704
0,352,22,24,10,17,2,1,20705
0,352,22,810,166,21,2,1,20706
1,353,35,4,6,3,1,1,20707
2,353,35,1,1,4,1,1,20708
3,353,35,13,6,6,1,1,20709
4,353,35,30,131,9,1,1,20710
5,353,35,9,4,8,1,1,20711
6,353,35,24,10,17,1,1,20712
7,353,35,22,3,10,1,1,20713
8,353,35,155,15,12,1,1,20714
9,353,35,2,15,13,1,1,20715
10,353,35,807,3,11,1,1,20716
11,353,35,153,5,15,1,1,20717
12,353,35,18,1,7,1,1,20718
13,353,35,5,205,21,1,1,20719
14,353,35,811,164,24,1,1,20720
15,353,35,29,164,23,1,1,20721
0,353,35,16,10,14,2,1,20722
0,353,35,20,9,1,2,1,20723
0,353,35,808,4,20,2,1,20724
0,353,35,10,166,19,2,1,20725
0,353,35,67,5,16,2,1,20726
0,353,35,810,166,22,2,1,20727
0,353,35,15,205,18,2,1,20728
0,353,35,17,9,2,2,1,20729
0,353,35,3,131,5,2,1,20730
1,354,18,20,9,2,1,1,20731
2,354,18,17,9,3,1,1,20732
3,354,18,4,6,5,1,1,20733
4,354,18,1,1,4,1,1,20734
5,354,18,18,1,11,1,1,20735
6,354,18,3,131,13,1,1,20736
7,354,18,30,131,8,1,1,20737
8,354,18,807,3,1,1,1,20738
9,354,18,9,4,7,1,1,20739
10,354,18,155,15,12,1,1,20740
11,354,18,153,5,14,1,1,20741
12,354,18,16,10,22,1,1,20742
13,354,18,67,5,19,1,1,20743
14,354,18,22,3,6,1,1,20744
15,354,18,13,6,9,1,1,20745
16,354,18,808,4,10,1,1,20746
17,354,18,2,15,15,1,1,20747
18,354,18,5,205,20,1,1,20748
19,354,18,15,205,18,1,1,20749
20,354,18,10,166,17,1,1,20750
21,354,18,811,164,24,1,1,20751
22,354,18,32,164,23,1,1,20752
0,354,18,810,166,21,2,1,20753
0,354,18,24,10,16,2,1,20754
1,355,24,20,9,1,1,1,20755
2,355,24,1,1,2,1,1,20756
