,round,resultId,raceId,circuitId,driverId,constructorId,position,proba_1,Pred_Position,Delta,Spread,pos_group,pred_pos_group
144,8,24350,1017,34,20,6,5,0,6,1,1,2,2
145,8,24351,1017,34,832,1,6,0,7,1,1,2,3
146,8,24352,1017,34,8,51,7,0,8,1,1,3,3
147,8,24353,1017,34,807,4,8,0,9,1,1,3,3
148,8,24354,1017,34,846,1,9,0,10,1,1,3,3
150,8,24356,1017,34,817,4,11,0,11,0,1,4,4
151,8,24357,1017,34,815,211,12,0,12,0,1,4,4
152,8,24358,1017,34,840,211,13,0,13,0,1,4,4
153,8,24359,1017,34,826,5,14,0,14,0,1,4,4
154,8,24360,1017,34,848,5,15,0,15,0,1,4,4
155,8,24361,1017,34,841,51,16,0,16,0,1,4,4
156,8,24362,1017,34,825,210,17,0,17,0,1,4,4
157,8,24363,1017,34,9,3,18,0,18,0,1,4,4
158,8,24364,1017,34,847,3,19,0,19,0,1,4,4
159,8,24365,1017,34,154,210,20,0,20,0,1,4,4
160,9,24366,1018,70,830,9,1,0.3,1,0,1,1,1
161,9,24367,1018,70,844,6,2,0.3,2,0,1,1,1
166,9,24372,1018,70,842,9,7,0.2,3,4,0,3,1
162,9,24368,1018,70,822,131,3,0.1,4,1,1,1,2
164,9,24370,1018,70,1,131,5,0.1,5,0,1,2,2
169,9,24375,1018,70,841,51,10,0.1,6,4,0,3,2
177,9,24383,1018,70,847,3,18,0.1,7,11,0,4,3
163,9,24369,1018,70,20,6,4,0,8,4,0,2,3
165,9,24371,1018,70,846,1,6,0,9,3,0,2,3
167,9,24373,1018,70,832,1,8,0,10,2,1,3,3
168,9,24374,1018,70,8,51,9,0,11,2,1,3,4
170,9,24376,1018,70,815,211,11,0,12,1,1,4,4
171,9,24377,1018,70,817,4,12,0,13,1,1,4,4
172,9,24378,1018,70,807,4,13,0,14,1,1,4,4
173,9,24379,1018,70,840,211,14,0,15,1,1,4,4
174,9,24380,1018,70,848,5,15,0,16,1,1,4,4
175,9,24381,1018,70,154,210,16,0,17,1,1,4,4
176,9,24382,1018,70,826,5,17,0,18,1,1,4,4
178,9,24384,1018,70,825,210,19,0,19,0,1,4,4
179,9,24385,1018,70,9,3,20,0,20,0,1,4,4
180,10,24386,1019,9,1,131,1,0.5,1,0,1,1,1
181,10,24387,1019,9,822,131,2,0.3,2,0,1,1,1
182,10,24388,1019,9,844,6,3,0.1,3,0,1,1,1
183,10,24389,1019,9,842,9,4,0,4,0,1,2,2
184,10,24390,1019,9,830,9,5,0,5,0,1,2,2
185,10,24391,1019,9,832,1,6,0,6,0,1,2,2
186,10,24392,1019,9,817,4,7,0,7,0,1,3,3
187,10,24393,1019,9,8,51,8,0,8,0,1,3,3
188,10,24394,1019,9,826,5,9,0,9,0,1,3,3
189,10,24395,1019,9,807,4,10,0,10,0,1,3,3
190,10,24396,1019,9,846,1,11,0,11,0,1,4,4
191,10,24397,1019,9,848,5,12,0,12,0,1,4,4
192,10,24398,1019,9,840,211,13,0,13,0,1,4,4
193,10,24399,1019,9,847,3,14,0,14,0,1,4,4
194,10,24400,1019,9,9,3,15,0,15,0,1,4,4
195,10,24401,1019,9,20,6,16,0,16,0,1,4,4
196,10,24402,1019,9,815,211,17,0,17,0,1,4,4
197,10,24403,1019,9,841,51,0,0,18,18,0,4,4
198,10,24404,1019,9,154,210,0,0,19,19,0,4,4
199,10,24405,1019,9,825,210,0,0,20,20,0,4,4
208,11,24414,1020,10,1,131,9,0.8,1,8,0,3,1
200,11,24406,1020,10,830,9,1,0.2,2,1,1,1,1
201,11,24407,1020,10,20,6,2,0,3,1,1,1,1
202,11,24408,1020,10,826,5,3,0,4,1,1,1,2
203,11,24409,1020,10,840,211,4,0,5,1,1,2,2
204,11,24410,1020,10,832,1,5,0,6,1,1,2,2
205,11,24411,1020,10,848,5,6,0,7,1,1,2,3
206,11,24412,1020,10,154,210,7,0,8,1,1,3,3
207,11,24413,1020,10,825,210,8,0,9,1,1,3,3
209,11,24415,1020,10,9,3,10,0,10,0,1,3,3
210,11,24416,1020,10,847,3,11,0,11,0,1,4,4
211,11,24417,1020,10,8,51,12,0,12,0,1,4,4
212,11,24418,1020,10,841,51,13,0,13,0,1,4,4
